name,lat,lng
Dos Bocas,18.33589933648736,-66.6662986370627
Aguirre,17.951899390168816,-66.23079607357684
Costa Sur,18.000298473002918,-66.75340271704073
Palo Seco,18.455300685395482,-66.14859700475763
Carite 1,18.044702201293134,-66.10600367149512
Toro Negro 1,18.13180182217009,-66.48789892211643
Garzas 1,18.094100122763205,-66.73459422879728
Garzas 2,18.07270089680772,-66.7305007740302
Toro Negro 2,18.166399987243775,-66.51159458511445
San Fermin Solar Farm,18.405501444830595,-65.90769852944625
Aguirre,17.953299547899597,-66.2312018517727
Yabucoa,18.106398323468607,-65.82489748198483
Costa Sur,18.001801190057932,-66.75370147681129
Daguao,18.232501701260055,-65.6677007925477
EcoEléctrica,17.981200143191007,-66.75520419386629
Jobos,17.961499834736884,-66.14019605837294
Mayagüez,18.21940086236503,-67.16000584659918
Palo Seco,18.455100025848076,-66.14980096204206
Vega Baja,18.44580280015164,-66.39140397531986
Vieques EPP,18.142900524692116,-65.44400106999949
Yauco 1,18.110598796660952,-66.8711006893464
Caonillas 1,18.296101859585352,-66.6432049527069
Caonillas 2,18.239698690360314,-66.66909895252427
Cambalache,18.46910160315589,-66.69679888826826
Yauco 2,18.05359810789475,-66.8836976498224
Río Blanco,18.24360040378208,-65.78520256440704
AES Ilumina,17.94679817856367,-66.15910264683956
Salinas,17.978600487276847,-66.2204955501434
A.E.S. Corp.,17.947400157205887,-66.14939964294724
Windmar Ponce,18.062297814050027,-66.54849810543277
San Juan CC,18.426998771009263,-66.1045009544401
Punta Lima,18.186800374563294,-65.69480320875054
Loiza Solar Park,18.41339851279625,-65.90280243648958
Santa Isabel Wind Farm,17.98529805705913,-66.39800344487897
Oriana Solar Farm,18.47290075725343,-67.0442966333633
